pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,length,traversal_time,stair_count,max_slope,min_width
SRO:PDS_02,SRO:ZP_03,SRO:ZNP_05,7,0,1.6,5,,,
SRO:BU-PRME_01,SRO:ZNP_06,SRO:ZP_04,6,0,1.6,4,,,
SRO:BU-PRME_02,SRO:ZNP_07,SRO:ZP_05,6,0,1.6,4,,,
SRO:BU-PRMS_01,SRO:ZP_04,SRO:ZNP_06,7,0,1.6,5,,,
SRO:BU-PRMS_02,SRO:ZP_05,SRO:ZNP_07,7,0,1.6,5,,,
SRO:PAS_31,SRO:ESCN_D1_BOT,SRO:ZNP_11,1,1,3.0,2,,,
SRO:PAS_32,SRO:ESCN_03_TOP,SRO:ZP_02,1,1,3.0,2,,,
SRO:PAS_33,SRO:ESCN_04_TOP,SRO:ZP_03,1,1,3.0,2,,,
SRO:PAS_34,SRO:ZP_04,SRO:PLA01_TOP,1,1,3.5,2,,,
SRO:PAS_35,SRO:ZP_05,SRO:PLA02_TOP,1,1,3.5,2,,,
SRO:PAS_36,SRO:ZNP_08,SRO:ZNP_02,1,1,5.8,4,,,
SRO:PAS_38,SRO:ZNP_11,SRO:ZNP_01,1,1,3.3,2,,,
SRO:PAS_39,SRO:ZNP_01,SRO:ZNP_10,1,1,23.0,16,,,
SRO:PAS_40,SRO:ZNP_10,SRO:ZNP_09,1,1,12.0,8,,,
SRO:PAS_37,SRO:ZNP_11,SRO:ZNP_02,1,1,8.0,5,,,
SRO:PAS_41,SRO:L4A_V1_BA_01,SRO:L4A_V1_BA_02,1,1,50.0,35,,,
SRO:PAS_42,SRO:L4A_V1_BA_02,SRO:L4A_V1_BA_03,1,1,50.0,35,,,
SRO:PAS_43,SRO:L4A_V2_BA_01,SRO:L4A_V2_BA_02,1,1,50.0,35,,,
SRO:PAS_44,SRO:L4A_V2_BA_02,SRO:L4A_V2_BA_03,1,1,50.0,35,,,
TB-TOB:PAS_ESCN_08,TB:L1-V2_BA_01,TB-TOB:ESCN_08_BOT,1,1,6.7,4,,,3.0
TB-TOB:PAS_11,TB:L1-V2_BA_01,TB:L1-V2_BA_02,1,1,45.0,32,,,3.0
TB-TOB:PAS_ESCN_06,TB:L1-V2_BA_02,TB-TOB:ESCN_06_BOT,1,1,6.3,4,,,3.0
TB-TOB:PAS_ESCN_04,TB-TOB:ZP_12_N,TB-TOB:ESCN_04_BOT,1,1,2.6,1,,,3.0
TB-TOB:PAS_ESCN_02,TB-TOB:ZP_13_N,TB-TOB:ESCN_02_BOT,1,1,5.3,3,,,3.0
TB-TOB:PAS_14,TB-TOB:ZP_11_N,TB-TOB:ZP_13_N,1,1,3.8,2,,,3.0
TB-TOB:PAS_15,TB-TOB:ZP_10_N,TB-TOB:ZP_12_N,1,1,3.8,2,,,3.0
TB-TOB:PAS_16,TB:L1-V2_BA_02,TB-TOB:ZP_10_N,1,1,24.7,17,,,3.0
TB-TOB:PAS_17,TB-TOB:ZP_10_N,TB-TOB:ZP_11_N,1,1,12.7,9,,,3.0
TB-TOB:PAS_18,TB-TOB:ZP_12_N,TB-TOB:ZP_14_N,1,1,4.7,3,,,3.0
TB-TOB:PAS_19,TB-TOB:ZP_13_N,TB-TOB:ZP_15_N,1,1,4.7,3,,,3.0
TB-TOB:PAS_20,TB-TOB:ZP_14_N,TB-TOB:ZP_15_N,1,1,12.7,9,,,4.7
TB-TOB:PAS_21,TB-TOB:ZP_15_N,TB-TOB:ZP_17_N,1,1,25.3,18,,,4.7
TB-TOB:PAS_22,TB-TOB:ZP_16_N,TB-TOB:ZP_17_N,1,1,7.1,5,,,3.0
TB-TOB:PAS_23,TB-TOB:ZP_11_N,TB:L1-V2_BA_03,1,1,7.6,5,,,3.0
TB-TOB:PAS_24,TB:L1-V2_BA_03,TB-TOB:ZP_16_N,1,1,17.5,12,,,3.0
TB-TOB:PAS_ESCN_07,TB:L1-V1-BA_01,TB-TOB:ESCN_07_BOT,1,1,6.7,4,,,3.0
TB-TOB:PAS_26,TB:L1-V1-BA_01,TB:L1-V1_BA_02,1,1,45.0,32,,,3.0
TB-TOB:PAS_ESCN_05,TB:L1-V1_BA_02,TB-TOB:ESCN_05_BOT,1,1,6.3,4,,,3.0
TB-TOB:PAS_ESCN_01,TB-TOB:ZP_11_S,TB-TOB:ESCN_01_BOT,1,1,7.9,5,,,3.0
TB-TOB:PAS_ESCN_03,TB-TOB:ZP_10_S,TB-TOB:ESCN_03_BOT,1,1,7.5,5,,,3.0
TB-TOB:PAS_30,TB:L1-V1_BA_02,TB-TOB:ZP_10_S,1,1,24.7,17,,,3.0
TB-TOB:PAS_31,TB-TOB:ZP_10_S,TB-TOB:ZP_11_S,1,1,12.7,9,,,3.0
TB-TOB:PAS_32,TB-TOB:ZP_16_S,TB-TOB:ZP_20_S,1,1,41.9,29,,,4.6
TB-TOB:PAS_33,TB-TOB:ZP_11_S,TB:L1-V1_BA_03,1,1,7.6,5,,,3.0
TB-TOB:PAS_34,TB:L1-V1_BA_03,TB-TOB:ZP_16_S,1,1,13.7,9,,,3.0
TB-TOB:PAS_35,TB-TOB:ZP_20_N,TB-TOB:ZP_21_N,1,1,8.8,6,,,5.0
