route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,trip_short_name,wheelchair_accessible,bikes_allowed
L5,V,DV_L5_528_074515_Ruta_Verde_V2,Plaza de Maipú (Ruta Verde),1,L5-R,DV5-528-074515-V2,1,0
L5,V,DV_L5_528_083546_Ruta_Verde_V1,Vicente Valdés (Ruta Verde),0,L5-I,DV5-528-083546-V1,1,0
L5,V,DV_L5_529_060535_Ruta_Roja_V2,Plaza de Maipú (Ruta Roja),1,L5-R,DV5-529-060535-V2,1,0
L5,V,DV_L5_529_065706_Ruta_Roja_V1,Vicente Valdés (Ruta Roja),0,L5-I,DV5-529-065706-V1,1,0
L5,V,DV_L5_529_074755_Ruta_Roja_V2,Plaza de Maipú (Ruta Roja),1,L5-R,DV5-529-074755-V2,1,0
L5,V,DV_L5_529_083826_Ruta_Roja_V1,Vicente Valdés (Ruta Roja),0,L5-I,DV5-529-083826-V1,1,0
L5,V,DV_L5_529_092835_V2,Plaza de Maipú,1,L5-R,DV5-529-092835-V2,1,0
L5,V,DV_L5_529_102306_V1,Vicente Valdés,0,L5-I,DV5-529-102306-V1,1,0
L5,V,DV_L5_529_111715_V2,Plaza de Maipú,1,L5-R,DV5-529-111715-V2,1,0
L5,V,DV_L5_529_120846_V1,Vicente Valdés,0,L5-I,DV5-529-120846-V1,1,0
L5,V,DV_L5_529_130045_V2,Plaza de Maipú,1,L5-R,DV5-529-130045-V2,1,0
L5,V,DV_L5_529_135216_V1,Vicente Valdés,0,L5-I,DV5-529-135216-V1,1,0
L5,V,DV_L5_529_144415_V2,Plaza de Maipú,1,L5-R,DV5-529-144415-V2,1,0
L5,V,DV_L5_529_153654_V1,Vicente Valdés,0,L5-I,DV5-529-153654-V1,1,0
L5,V,DV_L5_529_162855_V2,Plaza de Maipú,1,L5-R,DV5-529-162855-V2,1,0
L5,V,DV_L5_529_172154_V1,Vicente Valdés,0,L5-I,DV5-529-172154-V1,1,0
L5,V,DV_L5_529_181509_Ruta_Roja_V2,Plaza de Maipú (Ruta Roja),1,L5-R,DV5-529-181509-V2,1,0
L5,V,DV_L5_529_190709_Ruta_Roja_V1,Vicente Valdés (Ruta Roja),0,L5-I,DV5-529-190709-V1,1,0
L5,V,DV_L5_529_195824_Ruta_Verde_V2,Plaza de Maipú (Ruta Verde),1,L5-R,DV5-529-195824-V2,1,0
L5,V,DV_L5_529_204959_V1,Vicente Valdés,0,L5-I,DV5-529-204959-V1,1,0
L5,V,DV_L5_529_213924_V2,Plaza de Maipú,1,L5-R,DV5-529-213924-V2,1,0
L5,V,DV_L5_529_223339_V1,Vicente Valdés,0,L5-I,DV5-529-223339-V1,1,0
L5,V,DV_L5_530_051409_V1,Vicente Valdés,0,L5-I,DV5-530-051409-V1,1,0
L5,V,DV_L5_530_060835_Ruta_Verde_V2,Plaza de Maipú (Ruta Verde),1,L5-R,DV5-530-060835-V2,1,0
L5,V,DV_L5_530_065946_Ruta_Verde_V1,Vicente Valdés (Ruta Verde),0,L5-I,DV5-530-065946-V1,1,0
L5,V,DV_L5_530_075035_Ruta_Verde_V2,Plaza de Maipú (Ruta Verde),1,L5-R,DV5-530-075035-V2,1,0
L5,V,DV_L5_530_084106_Ruta_Verde_V1,Vicente Valdés (Ruta Verde),0,L5-I,DV5-530-084106-V1,1,0
L5,V,DV_L5_530_093155_V2,Plaza de Maipú,1,L5-R,DV5-530-093155-V2,1,0
